claim_id,months_as_customer,age,policy_annual_premium,incident_severity,incident_type,collision_type,authorities_contacted,witness_present,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported,claim_status,settlement_amount
C00054,229,51,1419.46,Minor Damage,Multi-Vehicle,Front Collision,Police,No,Yes,4447.14,1683.0,1387.48,1376.66,N,Closed,4396.99
C00055,51,50,2080.76,Total Loss,Parked Car,No Collision,Ambulance,Yes,Unknown,24476.06,6305.03,7896.47,10274.56,N,Open,0.0
C00056,135,65,2083.82,Trivial Damage,Single Vehicle,No Collision,None,Yes,No,122.85,7.67,50.96,64.22,N,Open,0.0
C00057,21,72,1839.44,Minor Damage,Vehicle Theft,Front Collision,Fire,Yes,Yes,3635.7,39.41,969.25,2627.04,N,Closed,3213.76
C00058,73,40,725.72,Major Damage,Single Vehicle,Front Collision,None,No,Yes,7310.75,1964.82,1505.38,3840.55,N,Open,0.0
C00059,167,79,2588.26,Major Damage,Multi-Vehicle,Front Collision,Police,No,Yes,6041.09,1932.94,1531.8,2576.34,N,Closed,5604.35
C00060,18,41,1301.95,Minor Damage,Multi-Vehicle,Front Collision,Police,No,Yes,3610.98,344.03,829.92,2437.03,N,Closed,3175.93
C00061,132,54,966.3,Major Damage,Multi-Vehicle,No Collision,None,No,Yes,7431.72,2147.07,3394.13,1890.51,Y,Open,0.0
C00062,89,52,601.94,Minor Damage,Parked Car,Rear Collision,Police,No,Yes,4320.88,686.47,1730.19,1904.22,N,Open,0.0
C00063,60,61,1977.23,Minor Damage,Single Vehicle,Front Collision,None,No,Yes,1819.94,213.4,853.37,753.16,N,Open,0.0
C00064,14,57,2193.91,Major Damage,Parked Car,Front Collision,Police,No,Yes,5130.02,175.46,1345.94,3608.61,N,Open,0.0
C00065,9,39,541.47,Major Damage,Parked Car,No Collision,None,No,No,5265.32,382.13,1974.03,2909.16,Y,Closed,0.0
C00066,90,44,1780.23,Major Damage,Multi-Vehicle,No Collision,Police,No,Yes,9214.25,3290.12,4102.49,1821.64,Y,Open,0.0
C00067,53,52,1066.24,Total Loss,Multi-Vehicle,Side Collision,None,No,Yes,26963.61,2798.0,8464.08,15701.53,Y,Open,0.0
C00068,130,18,2112.93,Minor Damage,Parked Car,Front Collision,Fire,No,Yes,3361.18,360.4,1301.6,1699.18,N,Open,0.0
C00069,84,52,935.92,Minor Damage,Single Vehicle,Side Collision,None,No,Unknown,2637.65,582.44,872.63,1182.57,N,Open,0.0
C00070,92,54,2227.34,Major Damage,Vehicle Theft,No Collision,Police,Yes,Yes,7944.66,3014.05,3408.91,1521.7,N,Closed,6791.44
C00071,111,64,1466.84,Minor Damage,Parked Car,No Collision,Fire,No,Yes,1560.45,542.08,540.27,478.1,N,Open,0.0
C00072,188,31,2841.82,Major Damage,Single Vehicle,Rear Collision,None,No,Unknown,13945.52,4461.76,4568.05,4915.71,N,Closed,13900.83
C00073,199,20,843.8,Major Damage,Multi-Vehicle,Front Collision,Fire,Yes,No,5224.69,561.5,1893.9,2769.29,N,Open,0.0
C00074,172,18,1352.67,Major Damage,Multi-Vehicle,Side Collision,Ambulance,No,No,11334.78,1169.24,2740.83,7424.71,N,Closed,9995.77
C00075,8,22,783.68,Minor Damage,Single Vehicle,No Collision,Ambulance,No,Yes,4339.72,1708.81,1552.35,1078.56,Y,Open,0.0
C00076,175,43,2811.73,Minor Damage,Vehicle Theft,No Collision,Police,No,Yes,1686.72,183.72,346.65,1156.35,N,Open,0.0
C00077,35,72,2693.35,Trivial Damage,Multi-Vehicle,Side Collision,Ambulance,No,No,922.87,43.47,344.19,535.21,N,Closed,903.32
C00078,206,31,1144.85,Minor Damage,Multi-Vehicle,Rear Collision,Fire,No,Unknown,2096.22,464.67,828.9,802.65,N,Open,0.0
C00079,81,56,2149.96,Trivial Damage,Multi-Vehicle,No Collision,None,Yes,Yes,846.77,69.92,172.15,604.7,N,Closed,716.36
C00080,164,44,2543.06,Minor Damage,Single Vehicle,Front Collision,Police,Yes,Yes,1547.54,557.13,715.22,275.19,N,Open,0.0
C00081,50,26,1888.0,Minor Damage,Parked Car,No Collision,Police,Yes,Yes,3389.65,814.22,1354.2,1221.23,N,Open,0.0
C00082,104,32,1824.13,Minor Damage,Multi-Vehicle,Front Collision,None,Yes,No,1701.49,622.34,554.06,525.09,N,Open,0.0
C00083,132,32,1104.63,Minor Damage,Parked Car,Side Collision,None,Yes,Yes,2532.55,525.67,542.19,1464.69,N,Closed,2133.98
C00084,2,43,732.76,Trivial Damage,Vehicle Theft,Front Collision,Police,Yes,Yes,249.66,73.7,56.13,119.82,N,Open,0.0
C00085,134,59,2743.04,Trivial Damage,Multi-Vehicle,Side Collision,Ambulance,No,Yes,642.84,63.09,203.64,376.11,N,Open,0.0
C00086,54,77,2751.05,Major Damage,Multi-Vehicle,Front Collision,Police,Yes,Yes,7886.94,1122.07,3278.71,3486.16,N,Open,0.0
C00087,106,30,2082.75,Minor Damage,Vehicle Theft,Side Collision,Police,No,Yes,2188.49,495.83,750.25,942.41,N,Open,0.0
C00088,4,68,1347.57,Trivial Damage,Multi-Vehicle,Front Collision,Police,No,Yes,697.3,261.3,292.71,143.29,N,Open,0.0
C00089,54,49,1373.02,Minor Damage,Parked Car,Rear Collision,Police,No,No,1859.76,23.2,518.28,1318.29,Y,Closed,0.0
C00090,221,56,2314.89,Major Damage,Single Vehicle,Front Collision,Fire,No,Yes,10950.78,225.26,3820.84,6904.68,N,Closed,8828.81
C00091,191,66,2742.78,Minor Damage,Parked Car,Front Collision,Police,Yes,Yes,3387.37,452.88,1460.88,1473.6,N,Closed,3151.38
C00092,146,69,2717.72,Minor Damage,Single Vehicle,Rear Collision,None,Yes,Yes,1426.39,42.87,596.88,786.64,N,Closed,1246.24
C00093,218,78,2449.69,Trivial Damage,Single Vehicle,No Collision,None,Yes,Yes,545.94,150.33,180.41,215.21,N,Open,0.0
C00094,44,49,2105.08,Trivial Damage,Parked Car,No Collision,Ambulance,Yes,Yes,321.76,105.42,141.52,74.82,Y,Closed,0.0
C00095,162,21,710.35,Minor Damage,Parked Car,Front Collision,Fire,Yes,Yes,3778.79,411.35,1424.86,1942.57,N,Open,0.0
C00096,202,47,904.07,Minor Damage,Parked Car,Rear Collision,Police,Yes,Yes,2443.9,89.53,1161.32,1193.04,N,Open,0.0
C00097,190,54,2746.39,Minor Damage,Parked Car,Front Collision,None,Yes,Yes,1547.27,588.11,516.48,442.68,N,Open,0.0
C00098,228,40,2016.07,Major Damage,Vehicle Theft,Side Collision,Ambulance,Yes,Yes,6851.33,1485.1,3164.52,2201.71,N,Open,0.0
C00099,14,56,522.99,Total Loss,Multi-Vehicle,Side Collision,Police,No,Unknown,40627.87,13107.54,16155.06,11365.26,Y,Closed,0.0
